date_time,department,city,license_plate,fuel_type,vehicle_group,unit_price_euros,prix_plein_euros,volume_liters,consumption_theoretical,km_theoretical,consumption_average,km_real,consumption_real
2025-11-20 15:07,64,USTARITZ,AE-496-LA,Gazole Premier,GAZOLE,1.829,51.68,28.26,6.0,471.0,6.40,441.6,7.51
2025-11-06 11:00,64,BIZANOS,AE-547-JJ,Gazole Premier,GAZOLE,1.784,66.41,37.23,6.0,620.5,6.78,549.1,6.92
2025-11-06 15:01,64,IGON,AE-597-LA,Gazole Premier,GAZOLE,1.784,60.05,33.66,6.0,561.0,6.54,514.7,6.58
2025-11-17 10:17,64,PAU,AE-642-JJ,Gazole Premier,GAZOLE,1.804,79.61,44.13,6.0,735.5,6.27,703.8,6.73
2025-11-04 13:15,64,ORTHEZ,BA-448-HL,Gazole Premier,GAZOLE,1.769,61.79,34.93,6.0,582.2,6.36,549.2,7.19
2025-11-14 14:14,64,IGON,BA-696-HL,Gazole Premier,GAZOLE,1.794,36.77,20.5,6.0,341.7,6.92,296.2,7.16
2025-11-24 12:44,64,IGON,BA-696-HL,Gazole Premier,GAZOLE,1.809,41.29,22.82,6.0,380.3,6.92,329.8,7.91
2025-11-17 11:47,64,SALIES DE BEARN,BA-731-WB,Gazole Premier,GAZOLE,1.804,70.19,38.91,6.0,648.5,7.27,535.2,8.23
2025-11-18 09:21,64,LARUNS,BB-479-GL,Gazole Premier,GAZOLE,1.814,83.89,46.25,6.0,770.8,7.71,599.9,8.80
2025-11-07 15:18,64,SUSMIOU,BB-646-GL,Gazole Premier,GAZOLE,1.794,73.04,40.71,6.0,678.5,6.43,633.1,7.58
2025-11-04 16:55,64,AURIAC,BC-820-MP,Gazole Excellium,GAZOLE,1.819,63.4,34.85,6.0,580.8,7.64,456.2,9.16
2025-11-28 13:34,64,ST JEAN LE VIEUX,BD-211-TS,Gazole Premier,GAZOLE,1.779,89.7,50.42,6.0,840.3,7.78,648.1,9.15
2025-11-26 11:40,64,IGON,BH-449-LR,Gazole Premier,GAZOLE,1.799,67.09,37.29,6.0,621.5,7.25,514.3,8.64
2025-11-14 13:02,64,MONTARDON,BJ-046-ZS,Gazole Premier,GAZOLE,1.794,64.94,36.2,6.0,603.3,6.24,580.1,6.46
2025-11-26 12:12,64,AURIAC,BJ-046-ZS,Gazole Premier,GAZOLE,1.799,53.9,29.96,6.0,499.3,6.24,480.1,5.94
2025-11-04 14:56,64,PAU,BJ-225-DD,Gazole Premier,GAZOLE,1.769,62.15,35.13,6.0,585.5,7.89,445.2,7.75
2025-11-14 16:49,64,OLORON STE MARIE,BN-368-RL,Gazole Premier,GAZOLE,1.794,63.71,35.51,6.0,591.8,6.97,509.5,7.35
2025-11-06 07:53,64,PAU,BV-816-DJ,Diesel B10,GAZOLE,1.784,88.97,49.87,6.0,831.2,7.15,697.5,8.39
2025-11-19 17:25,64,JURANCON,BV-816-DJ,Gazole Premier,GAZOLE,1.829,63.55,34.75,6.0,579.2,7.15,486.0,7.99
2025-11-19 07:12,64,ASSON,BV-998-MK,Gazole Premier,GAZOLE,1.829,74.24,40.59,6.0,676.5,6.55,619.7,7.72
2025-11-26 06:42,64,BIZANOS,BV-998-MK,Gazole Premier,GAZOLE,1.799,86.05,47.83,6.0,797.2,6.55,730.2,7.36
2025-11-26 10:33,64,MONTARDON,CA-086-KQ,Gazole Premier,GAZOLE,1.799,90.05,50.06,6.0,834.3,6.59,759.6,7.51
2025-11-07 17:25,64,BIDACHE,CD-012-MP,Gazole Excellium,GAZOLE,1.844,86.32,46.81,6.0,780.2,6.22,752.6,6.24
2025-11-20 18:29,64,BILLERE,CD-012-MP,Diesel B10,GAZOLE,1.829,85.52,46.76,6.0,779.3,6.22,751.8,6.51
2025-11-27 17:18,64,BIDACHE,CD-012-MP,Gazole Excellium,GAZOLE,1.829,78.76,43.06,6.0,717.7,6.22,692.3,6.84
2025-11-05 07:34,64,PARDIES,CD-029-MP,Gazole Excellium,GAZOLE,1.829,125.16,68.43,6.0,1140.5,7.13,959.7,6.90
2025-11-12 08:17,64,JURANCON,CD-029-MP,Gazole Excellium,GAZOLE,1.844,133.06,72.16,6.0,1202.7,7.13,1012.1,8.04
2025-11-25 07:24,64,PARDIES,CD-029-MP,Gazole Premier,GAZOLE,1.809,94.16,52.05,6.0,867.5,7.13,730.0,8.10
2025-11-28 13:37,64,PARDIES,CD-029-MP,Gazole Excellium,GAZOLE,1.829,117.25,64.11,6.0,1068.5,7.13,899.2,8.39
2025-11-27 13:17,64,ANGLET,CE-891-TR,Gazole Premier,GAZOLE,1.779,76.66,43.09,6.0,718.2,7.35,586.3,7.46
2025-11-03 16:41,64,PAU,CJ-304-CY,Diesel B10,GAZOLE,1.764,40.54,22.98,6.0,383.0,6.48,354.6,6.70
2025-11-04 16:17,64,IRUBE,CJ-304-CY,Gazole Excellium,GAZOLE,1.819,32.45,17.84,6.0,297.3,6.48,275.3,6.75
2025-11-14 08:20,64,BIARRITZ,CJ-304-CY,Gazole Premier,GAZOLE,1.794,58.75,32.75,6.0,545.8,6.48,505.4,6.62
2025-11-05 17:58,64,SALIES DE BEARN,CJ-719-CY,Gazole Premier,GAZOLE,1.779,60.35,33.92,6.0,565.3,7.53,450.5,7.86
2025-11-17 18:52,64,PAU,CJ-782-CY,Diesel B10,GAZOLE,1.804,32.74,18.15,6.0,302.5,7.49,242.3,8.22
2025-11-17 18:54,64,BILLERE,CL-158-ZX,Super 98 Sans PL,TOUS SUPER ET GPL,1.939,18.86,9.73,7.0,139.0,8.34,116.7,9.41
2025-11-26 16:12,64,PAU,CL-302-ZX,Sans Plomb 95 E10,TOUS SUPER ET GPL,1.81,27.44,15.16,7.0,216.6,8.79,172.5,10.20
2025-11-28 10:01,64,JURANCON,CL-534-ZX,Sans Plomb 95 E10,TOUS SUPER ET GPL,1.8,53.2,29.56,7.0,422.3,8.73,338.6,10.45
2025-11-05 15:16,64,IRUBE,CL-628-ZX,Sans Plomb 95 E10,TOUS SUPER ET GPL,1.795,49.94,27.82,7.0,397.4,8.61,323.1,9.75
2025-11-20 12:08,64,BILLERE,CL-628-ZX,Sans Plomb 95 E10,TOUS SUPER ET GPL,1.84,46.36,25.2,7.0,360.0,8.61,292.7,8.43
2025-11-06 11:54,64,JURANCON,CL-824-ZX,Sans Plomb 95 E10,TOUS SUPER ET GPL,1.795,49.64,27.65,7.0,395.0,8.38,330.0,8.06
